epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1169.89,0.84026,2.61466,0.91175,1.23272,0.79492,0.68529,0.74687,0.53955,0.61283,0.52226,0.49331,0.21372,1.13726,3.22765,1.47615,1.38817,0.000379743,0.000379743,0.000379743
41,1195.5,0.95205,2.55101,1.11477,1.30708,0.67517,0.69685,0.71515,0.50991,0.541,0.57912,0.49864,0.21939,1.17617,3.12632,1.53768,1.40656,0.000346736,0.000346736,0.000346736
42,1216.1,0.89878,2.44447,0.9787,1.26964,0.78496,0.70495,0.74478,0.54697,0.64076,0.5743,0.51806,0.22344,1.14207,3.24854,1.44899,1.37725,0.000313729,0.000313729,0.000313729
43,1236.26,0.88013,2.35268,0.91353,1.25763,0.71578,0.73067,0.73106,0.52574,0.56827,0.5984,0.50794,0.22197,1.13065,3.2513,1.44147,1.36828,0.000280723,0.000280723,0.000280723
44,1257.77,0.8453,2.24345,0.86535,1.21626,0.78797,0.70385,0.74986,0.55246,0.64466,0.56166,0.52437,0.23779,1.10973,3.35805,1.39283,1.35823,0.000247716,0.000247716,0.000247716
45,1280.37,0.84227,2.22222,0.84427,1.21187,0.7413,0.73555,0.72726,0.51531,0.58427,0.58083,0.47651,0.2126,1.12617,3.25254,1.45027,1.36728,0.00021471,0.00021471,0.00021471
46,1302.81,0.82304,2.19424,0.82739,1.18979,0.73989,0.72812,0.73768,0.54439,0.58969,0.58232,0.50782,0.23601,1.12132,3.35531,1.41365,1.37496,0.000181703,0.000181703,0.000181703
47,1323.69,0.82943,2.19385,0.8264,1.2066,0.75195,0.71563,0.73315,0.53735,0.61628,0.58521,0.51338,0.22218,1.13003,3.27964,1.43121,1.37931,0.000148696,0.000148696,0.000148696
48,1344.75,0.79309,2.08491,0.7899,1.18403,0.77184,0.7021,0.74184,0.54942,0.61386,0.6129,0.52307,0.23458,1.10209,3.28832,1.39812,1.35734,0.00011569,0.00011569,0.00011569
49,1365.95,0.79425,2.07769,0.78819,1.18509,0.76843,0.71225,0.73888,0.54261,0.60004,0.60325,0.5049,0.22946,1.11957,3.33622,1.41935,1.3681,8.26832e-05,8.26832e-05,8.26832e-05
50,1386.46,0.76947,2.0101,0.76132,1.17343,0.78724,0.7069,0.73747,0.54628,0.64467,0.57676,0.52291,0.23539,1.1095,3.4011,1.41049,1.36397,4.96766e-05,4.96766e-05,4.96766e-05
